study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
strong,omp,dynamic,1600,1,625,0,4.673541,4.6727,4.6727,4.6727,ae1209a2bebdad4f,3,2.43
strong,omp,static,1600,2,625,0,2.358550,2.3459,2.2484,2.2971,ae1209a2bebdad4f,3,2.31
strong,omp,dynamic,1600,2,625,0,2.366264,2.3085,2.3027,2.3056,ae1209a2bebdad4f,3,2.29
strong,omp,static,1600,3,625,0,1.703633,1.6688,1.4257,1.5340,ae1209a2bebdad4f,3,2.29
strong,omp,dynamic,1600,3,625,0,1.807954,1.5415,1.5279,1.5358,ae1209a2bebdad4f,3,2.29
strong,omp,static,1600,4,625,0,1.387793,1.3842,0.9519,1.1456,ae1209a2bebdad4f,3,2.34
strong,omp,dynamic,1600,4,625,0,1.346833,1.1626,1.1385,1.1475,ae1209a2bebdad4f,3,2.34
strong,omp,static,1600,5,625,0,1.160789,1.1467,0.7786,0.9084,ae1209a2bebdad4f,3,2.34
strong,omp,dynamic,1600,5,625,0,1.136629,0.9285,0.9065,0.9165,ae1209a2bebdad4f,3,2.56
strong,omp,static,1600,6,625,0,0.963775,0.9459,0.6616,0.7566,ae1209a2bebdad4f,3,2.56
strong,omp,dynamic,1600,6,625,0,1.000819,0.7719,0.7591,0.7650,ae1209a2bebdad4f,3,2.56
strong,omp,static,1600,7,625,0,0.798003,0.7700,0.5468,0.6491,ae1209a2bebdad4f,3,2.56
strong,omp,dynamic,1600,7,625,0,0.869791,0.6637,0.6482,0.6554,ae1209a2bebdad4f,3,2.56
strong,omp,static,1600,8,625,0,0.806627,0.7612,0.4429,0.5705,ae1209a2bebdad4f,3,2.91
strong,omp,dynamic,1600,8,625,0,0.807915,0.5813,0.5705,0.5753,ae1209a2bebdad4f,3,2.91
strong,seq,seq,3200,1,156,0,3.884532,,,,9e0bf857c97eb34,3,2.91
strong,omp,static,3200,1,156,0,3.913268,3.9130,3.9130,3.9130,9e0bf857c97eb34,3,2.76
strong,omp,dynamic,3200,1,156,0,3.906112,3.9058,3.9058,3.9058,9e0bf857c97eb34,3,2.62
strong,omp,static,3200,2,156,0,2.001926,1.9871,1.9637,1.9754,9e0bf857c97eb34,3,2.62
strong,omp,dynamic,3200,2,156,0,2.003115,1.9676,1.9542,1.9609,9e0bf857c97eb34,3,2.57
strong,omp,static,3200,3,156,0,1.348498,1.3292,1.2849,1.3090,9e0bf857c97eb34,3,2.57
strong,omp,dynamic,3200,3,156,0,1.384440,1.3360,1.2909,1.3095,9e0bf857c97eb34,3,2.60
strong,omp,static,3200,4,156,0,1.027202,1.0192,0.9608,0.9849,9e0bf857c97eb34,3,2.60
